Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,posemo,negemo,anx,anger,sad,tentat,certain,achieve,focuspast,focusfuture,work,money
biden.txt,1,4463,87.37,67.37,8.58,20.98,26.72,22.97,58.21,1.86,2.17,0.43,1.12,0.16,1.39,0.76,1.57,2.04,0.85,3.34,0.56
bloomberg.txt,1,9044,88.24,71.58,3.26,28.72,25.05,30.16,59.41,2.58,2.40,0.32,1.13,0.30,1.47,0.95,1.12,2.03,0.76,3.14,1.78
gabbard.txt,1,201,76.26,55.93,24.79,80.01,28.71,19.90,68.16,4.98,1.99,0.00,0.50,0.00,1.99,1.99,2.99,2.99,1.49,3.98,0.50
sanders.txt,1,11264,87.30,66.03,5.17,35.71,28.30,29.73,57.05,2.53,1.96,0.38,0.82,0.18,1.42,0.91,2.03,1.81,1.03,2.84,0.73
warren.txt,1,5955,73.58,64.36,6.46,43.52,23.17,23.02,68.41,3.22,2.25,0.27,1.14,0.30,1.73,1.23,1.91,2.49,1.24,2.65,1.41
