Poll,Date,Sample,Sanders,Biden,Warren,Bloomberg,Gabbard,Buttigieg,Klobuchar,Spread
Final Results,--,--,50.8,22.0,12.6,9.4,0.8,2.4,1.3,Sanders +28.8
Data for Progress (D)DFP (D),2/28 - 3/2,236 LV,57,16,16,8,2,1,0,Sanders +41
Vermont Public RadioVT. Public Radio,2/4 - 2/10,332 LV,51,5,9,7,1,13,4,Sanders +38
