date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-11,0,0.0,0.3333333333333333,0,0,0,0,0,0,0,0
2020-02-14,0,0,1.0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,3.0,0,0,0,0,0,0,0,0
2020-02-18,0,0,1.0,0,0,0,0,0,0,0,0
2020-02-20,0,0,2,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,1,0,0,0
2020-02-24,0,0.0,0,0,0,0,0,0,0,0.0,0
2020-02-29,0,0,0,0,0,0,0,3,0,0,0
2020-03-01,0,6.0,0,0,0,0,0,0,0,2.0,0
