ceron_warren-training-data.txt_0_258	obj
ceron_warren-training-data.txt_259_283	unknown
ceron_warren-training-data.txt_284_460	unknown
ceron_warren-training-data.txt_461_637	unknown
ceron_warren-training-data.txt_638_1027	unknown
ceron_warren-training-data.txt_1028_1344	unknown
ceron_warren-training-data.txt_1345_1733	unknown
ceron_warren-training-data.txt_1734_1913	unknown
ceron_warren-training-data.txt_1914_2230	unknown
ceron_warren-training-data.txt_2231_2619	unknown
