Word,Polarity
Admits,weakpos
Should,neutral
Worry,strongneg
urging,strongpos
active,weakpos
increasingly,neutral
wanted,strongpos
supporters,strongpos
nice,weakpos
firms,neutral
worth,strongpos
live,weakpos
too,strongneg
Look,neutral
reason,strongpos
Should,neutral
Worry,strongneg
Attacks,strongneg
‘Stand,weakpos
yd,neutral
rather,neutral
full,neutral
full,neutral
shows,neutral
Democratic,weakpos
supporting,strongpos
