Word,Polarity
handy,strongpos
Knock,strongneg
Help,weakpos
open,weakpos
Help,weakpos
friends,strongpos
Id,neutral
love,strongpos
could,neutral
simple,weakpos
Help,weakpos
ready,weakpos
least,weakneg
know,neutral
block,weakneg
open,weakpos
most,neutral
important,weakpos
best,weakpos
crumble,strongneg
primary,neutral
shows,neutral
cutting,weakneg
still,neutral
sure,weakpos
