date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-01-27,0,1.5,1,7.0,0,0.6666666666666666,0,1.1428571428571428,2,11,0.8
2020-01-28,0,3.6666666666666665,0,1.5,0,0,0,1.6666666666666667,3,2.3636363636363638,1.375
2020-01-29,0,2.5,0.0,2,0,1,1,2.1666666666666665,1,3.75,2.375
2020-01-30,0,2.5,5.0,1,0,0.0,0,4.333333333333333,0,1.2,10
2020-01-31,0,1.5,1.0,0,1.0,0,0,3.0,3,1.7,1.5
2020-02-01,0,2.5,2,6,0,3.0,0,1.5,0,2.25,2.0588235294117645
2020-02-02,0,0.5,1,0.0,0,1,3,2.6666666666666665,1.0,2.375,3.4615384615384617
