date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-18,0,10.0,0,0,0,0,0,21.0,0,0,0
2020-03-04,0,41.5,0,0,0,0,0,39.5,0,0,0
2020-03-05,0,41.5,0,0,0,0,0,39.5,0,0,0
2020-03-06,0,36.0,0,0,0,0,0,35.0,0,0,0
2020-03-07,0,49.0,0,0,0,0,0,43.0,0,0,0
2020-03-08,0,49.0,0,0,0,0,0,43.0,0,0,0
2020-03-09,0,49.0,0,0,0,0,0,43.0,0,0,0
