Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,posemo,negemo,anx,anger,sad,tentat,certain,achieve,focuspast,focusfuture,work,money
biden.txt,1,258,75.61,53.10,7.61,32.42,23.45,25.58,58.53,3.10,2.71,1.16,1.55,0.00,2.33,1.55,3.10,3.10,0.00,4.65,0.78
bloomberg.txt,1,385,86.58,64.21,1.30,78.19,17.50,31.43,66.49,4.94,2.08,0.00,1.30,0.00,3.12,1.04,1.30,1.82,0.78,2.60,3.38
sanders.txt,1,135,83.33,72.32,1.22,67.75,33.75,28.89,52.59,2.22,0.00,0.00,0.00,0.00,0.00,2.22,0.74,4.44,0.74,2.22,0.00
warren.txt,1,144,78.88,73.40,2.34,8.95,14.40,25.00,66.67,2.08,3.47,0.00,2.08,0.00,3.47,1.39,2.78,0.00,0.00,4.17,0.00
