Poll,Date,Sample,Sanders,Biden,Warren,Bloomberg,Buttigieg,Klobuchar,Gabbard,Steyer,Spread
Final Results,--,--,34.6,17.4,15.5,16.7,9.8,3.9,0.8,0.4,Sanders +17.2
Data for Progress (D)DFP (D),2/28 - 3/2,622 LV,29,23,19,17,7,3,2,0,Sanders +6
Deseret News/HinckleyDeseret,2/22 - 2/26,298 LV,28,6,15,19,18,4,--,--,Sanders +9
Salt Lake Tribune/SuffolkSuffolk,1/18 - 1/22,132 LV,27,12,14,10,5,3,1,1,Sanders +13
