Poll,Date,Sample,Sanders,Biden,Warren,Bloomberg,Klobuchar,Gabbard,Buttigieg,Spread
Final Results,--,--,29.9,38.6,15.4,8.3,5.6,0.3,1.0,Biden +8.7
Data for Progress (D)DFP (D),2/28 - 3/2,650 LV,32,27,21,16,2,1,0,Sanders +5
Star Tribune/Mason-DixonStar Tribune,2/17 - 2/20,500 LV,23,8,11,3,29,1,3,Klobuchar +6
UMass LowellUMLowell,2/12 - 2/19,450 LV,21,9,16,9,27,4,10,Klobuchar +6
