Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Sanders Bernie Sanders,"7,682",53.3%,,8
Biden Joseph R. Biden Jr.,"5,742",39.8%,,6
Warren Elizabeth Warren,366,2.5%,,0
Klobuchar Amy Klobuchar,223,1.5%,,0
Buttigieg Pete Buttigieg,164,1.1%,,0
Bloomberg Michael R. Bloomberg,113,0.8%,,0
Gabbard Tulsi Gabbard,89,0.6%,,0
Yang Andrew Yang,20,0.1%,,0
Steyer Tom Steyer,6,0.0%,,0
Bennet Michael Bennet,3,0.0%,,0
Delaney John Delaney,3,0.0%,,0
Patrick Deval Patrick,2,0.0%,,0
