ceron_caucus-training-data.txt_0_292	subj
ceron_caucus-training-data.txt_293_348	unknown
ceron_caucus-training-data.txt_349_505	obj
ceron_caucus-training-data.txt_506_626	unknown
ceron_caucus-training-data.txt_628_792	unknown
ceron_caucus-training-data.txt_793_911	unknown
ceron_caucus-training-data.txt_912_964	unknown
ceron_caucus-training-data.txt_965_1237	unknown
ceron_caucus-training-data.txt_1238_1474	unknown
