Candidate,Votes,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"31",8.8%,,0
Sanders Bernie Sanders,"37",10.5%,,0
Bloomberg Michael R. Bloomberg,"175",49.9%,,4
Warren Elizabeth Warren,"5",1.4%,,0
Buttigieg Pete Buttigieg,"0",0.0%,,0
Steyer Tom Steyer,"0",0.0%,,0
Gabbard Tulsi Gabbard,"103",29.3%,,2
Klobuchar Amy Klobuchar,0,0.0%,,0
