Poll,Date,Sample,Biden,Sanders,Bloomberg,Warren,Buttigieg,Klobuchar,Spread
Final Results,--,--,38.7,25.4,13.9,13.4,1.7,2.2,Biden +13.3
Data for Progress (D)DFP (D),2/28 - 3/2,300 LV,35,28,19,16,0,0,Biden +7
Sooner PollSooner Poll,2/17 - 2/21,409 LV,21,13,20,9,10,7,Biden +1
CHS & AssociatesCHS,2/10 - 2/13,172 LV,12,14,20,8,11,6,Bloomberg +6
