state,num
iowa,145
newhampshire,2528
nevada,470
southcarolina,2376
alabama,504
arkansas,12
california,506
colorado,13
maine,506
massachusetts,508
minnesota,14
northcarolina,83
oklahoma,18
tennessee,13
texas,15
utah,506
vermont,12
virginia,12
idaho,1414
michigan,20
mississippi,17
missouri,21
northdakota,35
washington,14
arizona,28
florida,816
illinois,25
