Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"218,538",81.1%,,34
Sanders Bernie Sanders,"39,915",14.8%,,2
Bloomberg Michael R. Bloomberg,"6,618",2.5%,,0
Warren Elizabeth Warren,"1,416",0.5%,,0
Gabbard Tulsi Gabbard,989,0.4%,,0
Buttigieg Pete Buttigieg,526,0.2%,,0
Yang Andrew Yang,445,0.2%,,0
Klobuchar Amy Klobuchar,415,0.2%,,0
Steyer Tom Steyer,374,0.1%,,0
Patrick Deval Patrick,253,0.1%,,0
