Word,Polarity
hope,strongpos
popular,weakpos
,neutral
hard,strongneg
hate,strongneg
knows,neutral
crazy,strongneg
best,weakpos
though,neutral
well,strongpos
white,weakpos
supporters,strongpos
claiming,neutral
illegal,strongneg
actually,neutral
Great,weakpos
breakthrough,strongpos
Democratic,weakpos
could,neutral
stand,weakpos
primary,neutral
