Candidate,Votes,Pct.,,Del.
Sanders Bernie Sanders,"23,139",57.9,%,9
Biden Joe Biden,"9,059",22.7,,4
Warren Elizabeth Warren,"5,730",14.3,,0
Bloomberg Michael Bloomberg,892,2.2,,0
Buttigieg Pete Buttigieg,616,1.5,,0
Klobuchar Amy Klobuchar,224,0.6,,0
Gabbard Tulsi Gabbard,146,0.4,,0
Yang Andrew Yang,85,0.2,,0
Patrick Deval Patrick,26,0.1,,0
Steyer Tom Steyer,19,0.0,,0
Bennet Michael Bennet,0,0.0,,0
Uncommitted Uncommitted,48,0.1,,0
