Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,posemo,negemo,anx,anger,sad,tentat,certain,achieve,focuspast,focusfuture,work,money
biden.txt,1,158,84.12,60.01,11.92,9.98,22.57,23.42,62.03,2.53,3.80,1.90,2.53,0.00,1.90,1.27,2.53,4.43,0.00,4.43,1.27
bloomberg.txt,1,326,91.03,71.99,1.57,66.41,20.38,34.36,63.80,4.29,2.15,0.00,1.53,0.00,2.45,1.23,1.53,1.84,0.61,3.07,3.07
sanders.txt,1,146,85.46,70.83,1.30,64.72,29.20,28.08,51.37,2.05,0.00,0.00,0.00,0.00,0.00,2.05,0.68,4.11,0.68,2.05,0.00
warren.txt,1,97,81.79,76.47,2.58,4.66,16.17,24.74,68.04,2.06,4.12,0.00,3.09,0.00,3.09,1.03,3.09,0.00,0.00,4.12,0.00
