state,num
iowa,3895
newhampshire,23487
nevada,12501
southcarolina,24068
alabama,11256
arkansas,271
california,11319
colorado,300
maine,11318
massachusetts,11230
minnesota,302
northcarolina,823
oklahoma,332
tennessee,313
texas,360
utah,11173
vermont,370
virginia,285
idaho,22017
michigan,329
mississippi,305
missouri,349
northdakota,711
washington,305
arizona,297
florida,11487
illinois,312
