Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,posemo,negemo,anx,anger,sad,tentat,certain,achieve,focuspast,focusfuture,work,money
biden.txt,1,4471,87.22,67.74,8.23,21.31,26.61,23.06,58.15,1.92,2.21,0.49,1.16,0.13,1.36,0.81,1.54,2.06,0.85,3.35,0.60
bloomberg.txt,1,9033,88.42,71.94,3.09,29.28,25.02,30.19,59.15,2.59,2.38,0.31,1.14,0.28,1.46,0.94,1.10,2.13,0.76,3.17,1.70
gabbard.txt,1,201,76.26,55.93,24.79,80.01,28.71,19.90,68.16,4.98,1.99,0.00,0.50,0.00,1.99,1.99,2.99,2.99,1.49,3.98,0.50
sanders.txt,1,11172,87.44,65.82,4.97,35.63,28.14,29.64,57.05,2.54,1.98,0.40,0.83,0.19,1.44,0.91,2.03,1.73,1.05,2.86,0.79
warren.txt,1,6008,74.11,64.24,6.77,42.69,23.56,23.07,68.49,3.20,2.26,0.27,1.13,0.32,1.78,1.28,1.95,2.46,1.26,2.63,1.43
