state,num
iowa,1266
newhampshire,9489
nevada,7567
southcarolina,9027
alabama,6839
arkansas,186
california,6857
colorado,198
maine,6868
massachusetts,6832
minnesota,207
northcarolina,284
oklahoma,233
tennessee,221
texas,244
utah,6854
vermont,221
virginia,197
idaho,11708
michigan,207
mississippi,187
missouri,223
northdakota,274
washington,182
arizona,195
florida,6727
illinois,197
