Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,posemo,negemo,anx,anger,sad,tentat,certain,achieve,focuspast,focusfuture,work,money
biden.txt,1,312,73.45,52.56,7.84,25.77,24.00,23.08,63.78,2.88,2.88,0.96,1.92,0.00,1.92,1.60,2.88,3.85,0.00,4.17,1.28
bloomberg.txt,1,368,90.67,69.73,1.51,61.85,21.65,34.51,64.67,4.08,2.17,0.00,1.36,0.00,2.99,1.09,1.36,1.90,0.54,2.72,3.53
sanders.txt,1,150,79.66,63.05,2.63,63.69,30.00,28.00,54.67,2.00,0.00,0.00,0.00,0.00,0.00,2.67,0.67,4.00,0.67,2.00,0.00
warren.txt,1,117,73.96,69.60,3.70,6.64,16.71,22.22,69.23,2.56,4.27,0.00,2.56,0.00,4.27,1.71,3.42,0.00,0.00,3.42,0.00
