Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,posemo,negemo,anx,anger,sad,tentat,certain,achieve,focuspast,focusfuture,work,money
biden.txt,1,183,87.39,66.90,9.45,1.13,22.88,24.04,61.75,2.19,5.46,2.73,4.37,0.00,1.64,1.09,2.19,6.01,0.00,4.92,1.09
bloomberg.txt,1,357,90.24,69.29,1.49,57.55,22.31,33.61,63.03,4.20,2.52,0.00,1.96,0.00,2.80,1.96,1.40,1.68,0.56,3.08,2.80
sanders.txt,1,163,76.05,68.81,2.51,48.54,32.60,32.52,53.37,1.84,0.61,0.00,0.00,0.00,0.00,1.84,0.61,6.13,0.61,1.84,0.00
warren.txt,1,97,81.79,76.47,2.58,4.66,16.17,24.74,68.04,2.06,4.12,0.00,3.09,0.00,3.09,1.03,3.09,0.00,0.00,4.12,0.00
